model_type,vectorizer,transform_type,crutch_words_removed,true_positives,true_negatives,false_positives,false_negatives,train_accuracy,accuracy,sensitivity,specificity,precision
log,c,o,0,301,344,9,12,0.9928571428571429,0.9684684684684685,0.9616613418530351,0.9745042492917847,0.9709677419354839
log,c,s,0,305,344,9,8,0.9932330827067669,0.9744744744744744,0.9744408945686901,0.9745042492917847,0.9713375796178344
log,c,l,0,303,342,11,10,0.9932330827067669,0.9684684684684685,0.9680511182108626,0.9688385269121813,0.964968152866242
log,t,s,0,307,345,8,6,0.9894736842105263,0.978978978978979,0.9808306709265175,0.9773371104815864,0.9746031746031746
log,c,o,1,273,344,9,40,0.9917293233082707,0.9264264264264265,0.8722044728434505,0.9745042492917847,0.9680851063829787
log,c,s,1,276,339,14,37,1.0,0.9234234234234234,0.8817891373801917,0.9603399433427762,0.9517241379310345
log,c,l,1,271,338,15,42,0.9838345864661654,0.9144144144144144,0.865814696485623,0.9575070821529745,0.9475524475524476
log,t,s,1,278,346,7,35,0.9725563909774436,0.9369369369369369,0.8881789137380192,0.9801699716713881,0.9754385964912281
rf,t,s,0,301,347,6,12,1.0,0.972972972972973,0.9616613418530351,0.9830028328611898,0.9804560260586319
rf,t,s,1,274,332,21,39,1.0,0.9099099099099099,0.8753993610223643,0.9405099150141643,0.9288135593220339
gb,t,s,0,307,327,26,6,0.9808270676691729,0.9519519519519519,0.9808306709265175,0.9263456090651558,0.9219219219219219
gb,t,s,1,260,332,21,53,1.0,0.8888888888888888,0.8306709265175719,0.9405099150141643,0.9252669039145908
svm,t,s,0,305,344,9,8,0.999624060150376,0.9744744744744744,0.9744408945686901,0.9745042492917847,0.9713375796178344
svm,t,s,1,286,343,10,27,1.0,0.9444444444444444,0.9137380191693291,0.9716713881019831,0.9662162162162162
